Entity,Code,Year,Renewables (TWh - equivalent)
Bangladesh,BGD,2004,2.1638322
Bangladesh,BGD,2005,2.1544325
Bangladesh,BGD,2006,2.1511257
Bangladesh,BGD,2007,2.1478608
Bangladesh,BGD,2008,2.720417
Bangladesh,BGD,2009,1.2498105
Bangladesh,BGD,2010,2.162397
Bangladesh,BGD,2011,2.5835178
Bangladesh,BGD,2012,2.3974414
Bangladesh,BGD,2013,2.356739
Bangladesh,BGD,2014,2.006208
Bangladesh,BGD,2015,2.9779804
Bangladesh,BGD,2016,2.9826427
Bangladesh,BGD,2017,3.4395626
Bangladesh,BGD,2018,3.0427399
Bangladesh,BGD,2019,3.0585682
Bangladesh,BGD,2020,2.8878322
Bangladesh,BGD,2021,3.3477104
Bangladesh,BGD,2022,3.7606997
Belarus,BLR,1985,0.05913972
Belarus,BLR,1986,0.05913972
Belarus,BLR,1987,0.05913972
Belarus,BLR,1988,0.05913972
Belarus,BLR,1989,0.05913972
Belarus,BLR,1990,0.05913972
Belarus,BLR,1991,0.05322583
Belarus,BLR,1992,0.050268885
Belarus,BLR,1993,0.056182776
Belarus,BLR,1994,0.056182776
Belarus,BLR,1995,0.05913972
Belarus,BLR,1996,0.047311943
Belarus,BLR,1997,0.062096667
Belarus,BLR,1998,0.08279583
Belarus,BLR,1999,0.056182776
Belarus,BLR,2000,0.07983861
Belarus,BLR,2001,0.08813361
Belarus,BLR,2002,0.08464611
Belarus,BLR,2003,0.081203334
Belarus,BLR,2004,0.09800519
Belarus,BLR,2005,0.10594619
Belarus,BLR,2006,0.108819
Belarus,BLR,2007,0.1464851
Belarus,BLR,2008,0.29996726
Belarus,BLR,2009,0.55638576
Belarus,BLR,2010,0.78637743
Belarus,BLR,2011,0.7487688
Belarus,BLR,2012,0.85629714
Belarus,BLR,2013,0.9279843
Belarus,BLR,2014,0.89756286
Belarus,BLR,2015,0.9543609
Belarus,BLR,2016,1.1507889
Belarus,BLR,2017,2.119413
Belarus,BLR,2018,1.9231772
Belarus,BLR,2019,2.3502238
Belarus,BLR,2020,2.9966106
Belarus,BLR,2021,2.813156
Belarus,BLR,2022,2.955624
Belgium,BEL,1965,0.8043011
Belgium,BEL,1966,0.88413966
Belgium,BEL,1967,0.7037633
Belgium,BEL,1968,0.7215053
Belgium,BEL,1969,0.6801075
Belgium,BEL,1970,0.72741944
Belgium,BEL,1971,0.39623666
Belgium,BEL,1972,0.53225803
Belgium,BEL,1973,0.8759411
Belgium,BEL,1974,1.0544355
Belgium,BEL,1975,0.80608225
Belgium,BEL,1976,0.5042675
Belgium,BEL,1977,1.45084
Belgium,BEL,1978,1.4893816
Belgium,BEL,1979,1.69748
Belgium,BEL,1980,1.7797045
Belgium,BEL,1981,2.0555441
Belgium,BEL,1982,1.1315188
Belgium,BEL,1983,1.0637769
Belgium,BEL,1984,1.1145161
Belgium,BEL,1985,1.0178428
Belgium,BEL,1986,1.3941194
Belgium,BEL,1987,1.7395833
Belgium,BEL,1988,1.6598117
Belgium,BEL,1989,1.5322917
Belgium,BEL,1990,1.7074597
Belgium,BEL,1991,1.6552756
Belgium,BEL,1992,1.8872647
Belgium,BEL,1993,1.5568211
Belgium,BEL,1994,1.8318212
Belgium,BEL,1995,2.0507727
Belgium,BEL,1996,1.7327287
Belgium,BEL,1997,1.8033936
Belgium,BEL,1998,2.328797
Belgium,BEL,1999,2.6301074
Belgium,BEL,2000,3.2206988
Belgium,BEL,2001,3.3100085
Belgium,BEL,2002,3.518733
Belgium,BEL,2003,3.7072606
Belgium,BEL,2004,4.6358757
Belgium,BEL,2005,6.5531263
Belgium,BEL,2006,9.171264
Belgium,BEL,2007,10.805004
Belgium,BEL,2008,13.687
Belgium,BEL,2009,18.292332
Belgium,BEL,2010,24.401985
Belgium,BEL,2011,29.101002
Belgium,BEL,2012,35.25785
Belgium,BEL,2013,38.324295
Belgium,BEL,2014,40.042107
Belgium,BEL,2015,44.693233
Belgium,BEL,2016,45.997673
Belgium,BEL,2017,50.561905
Belgium,BEL,2018,53.84039
Belgium,BEL,2019,59.65564
Belgium,BEL,2020,72.13415
Belgium,BEL,2021,70.46962
Belgium,BEL,2022,72.73318
Brazil,BRA,1965,75.447586
Brazil,BRA,1966,82.51774
Brazil,BRA,1967,86.311554
Brazil,BRA,1968,90.33602
Brazil,BRA,1969,96.66989
Brazil,BRA,1970,122.93911
Brazil,BRA,1971,133.2507
Brazil,BRA,1972,156.45473
Brazil,BRA,1973,177.15948
Brazil,BRA,1974,200.06517
Brazil,BRA,1975,219.73415
Brazil,BRA,1976,250.88127
Brazil,BRA,1977,286.41428
Brazil,BRA,1978,319.62863
Brazil,BRA,1979,366.2914
Brazil,BRA,1980,406.40073
Brazil,BRA,1981,410.46942
Brazil,BRA,1982,449.0857
Brazil,BRA,1983,493.07523
Brazil,BRA,1984,545.8572
Brazil,BRA,1985,591.3355
Brazil,BRA,1986,619.0688
Brazil,BRA,1987,630.5249
Brazil,BRA,1988,673.43475
Brazil,BRA,1989,696.19196
Brazil,BRA,1990,697.35394
Brazil,BRA,1991,731.8142
Brazil,BRA,1992,749.7593
Brazil,BRA,1993,788.7411
Brazil,BRA,1994,818.3988
Brazil,BRA,1995,855.65515
Brazil,BRA,1996,897.23047
Brazil,BRA,1997,934.9675
Brazil,BRA,1998,971.7816
Brazil,BRA,1999,979.3181
Brazil,BRA,2000,1000.28723
Brazil,BRA,2001,886.25635
Brazil,BRA,2002,944.2996
Brazil,BRA,2003,997.3336
Brazil,BRA,2004,1045.5032
Brazil,BRA,2005,1095.2849
Brazil,BRA,2006,1122.438
Brazil,BRA,2007,1225.1898
Brazil,BRA,2008,1253.0533
Brazil,BRA,2009,1329.17
Brazil,BRA,2010,1396.9084
Brazil,BRA,2011,1447.9926
Brazil,BRA,2012,1414.6051
Brazil,BRA,2013,1387.0569
Brazil,BRA,2014,1384.5215
Brazil,BRA,2015,1407.9728
Brazil,BRA,2016,1475.0922
Brazil,BRA,2017,1476.9875
Brazil,BRA,2018,1579.0669
Brazil,BRA,2019,1653.7125
Brazil,BRA,2020,1652.8309
Brazil,BRA,2021,1603.7324
Brazil,BRA,2022,1815.3224
Bulgaria,BGR,1965,5.9139786
Bulgaria,BGR,1966,5.943548
Bulgaria,BGR,1967,5.9790325
Bulgaria,BGR,1968,3.8588707
Bulgaria,BGR,1969,5.437903
Bulgaria,BGR,1970,6.363441
Bulgaria,BGR,1971,6.4166665
Bulgaria,BGR,1972,6.1948924
Bulgaria,BGR,1973,7.599462
Bulgaria,BGR,1974,6.1505375
Bulgaria,BGR,1975,7.2534943
Bulgaria,BGR,1976,8.734945
Bulgaria,BGR,1977,10.435215
Bulgaria,BGR,1978,8.601881
Bulgaria,BGR,1979,9.790591
Bulgaria,BGR,1980,10.9793005
Bulgaria,BGR,1981,10.698387
Bulgaria,BGR,1982,9.018817
Bulgaria,BGR,1983,9.914784
Bulgaria,BGR,1984,9.639785
Bulgaria,BGR,1985,6.6147847
Bulgaria,BGR,1986,6.877957
Bulgaria,BGR,1987,7.501881
Bulgaria,BGR,1988,7.676344
Bulgaria,BGR,1989,7.9572577
Bulgaria,BGR,1990,5.5532255
Bulgaria,BGR,1991,7.2180104
Bulgaria,BGR,1992,6.100269
Bulgaria,BGR,1993,5.7424726
Bulgaria,BGR,1994,4.3408604
Bulgaria,BGR,1995,6.842473
Bulgaria,BGR,1996,8.631452
Bulgaria,BGR,1997,8.143548
Bulgaria,BGR,1998,9.157795
Bulgaria,BGR,1999,8.140591
Bulgaria,BGR,2000,7.904032
Bulgaria,BGR,2001,5.1029377
Bulgaria,BGR,2002,6.403923
Bulgaria,BGR,2003,8.784475
Bulgaria,BGR,2004,9.131955
Bulgaria,BGR,2005,12.432941
Bulgaria,BGR,2006,12.115733
Bulgaria,BGR,2007,8.25948
Bulgaria,BGR,2008,8.350056
Bulgaria,BGR,2009,10.448171
Bulgaria,BGR,2010,16.264631
Bulgaria,BGR,2011,11.074865
Bulgaria,BGR,2012,15.612391
Bulgaria,BGR,2013,20.162352
Bulgaria,BGR,2014,21.376947
Bulgaria,BGR,2015,25.38688
Bulgaria,BGR,2016,20.90535
Bulgaria,BGR,2017,18.42074
Bulgaria,BGR,2018,27.546503
Bulgaria,BGR,2019,22.791813
Bulgaria,BGR,2020,22.541811
Bulgaria,BGR,2021,30.433516
Bulgaria,BGR,2022,29.282988
CIS (EI),,1965,240.79947
CIS (EI),,1966,271.51962
CIS (EI),,1967,261.90347
CIS (EI),,1968,307.64517
CIS (EI),,1969,340.589
CIS (EI),,1970,367.78143
CIS (EI),,1971,372.87338
CIS (EI),,1972,363.411
CIS (EI),,1973,361.77283
CIS (EI),,1974,390.4113
CIS (EI),,1975,372.5422
CIS (EI),,1976,401.36694
CIS (EI),,1977,434.7188
CIS (EI),,1978,501.80402
CIS (EI),,1979,508.67017
CIS (EI),,1980,543.90265
CIS (EI),,1981,552.2
CIS (EI),,1982,516.518
CIS (EI),,1983,533.3285
CIS (EI),,1984,600.23334
CIS (EI),,1985,573.9283
CIS (EI),,1986,577.2084
CIS (EI),,1987,582.46173
CIS (EI),,1988,605.9452
CIS (EI),,1989,588.90436
CIS (EI),,1990,624.8278
CIS (EI),,1991,625.47705
CIS (EI),,1992,638.902
CIS (EI),,1993,658.3453
CIS (EI),,1994,669.4391
CIS (EI),,1995,651.64734
CIS (EI),,1996,588.0687
CIS (EI),,1997,585.2239
CIS (EI),,1998,586.65784
CIS (EI),,1999,600.92896
CIS (EI),,2000,616.5638
CIS (EI),,2001,638.7392
CIS (EI),,2002,605.6537
CIS (EI),,2003,597.655
CIS (EI),,2004,651.92596
CIS (EI),,2005,641.31525
CIS (EI),,2006,633.1441
CIS (EI),,2007,644.42303
CIS (EI),,2008,585.0967
CIS (EI),,2009,611.5103
CIS (EI),,2010,603.9863
CIS (EI),,2011,589.05365
CIS (EI),,2012,586.1905
CIS (EI),,2013,627.456
CIS (EI),,2014,602.24255
CIS (EI),,2015,584.2563
CIS (EI),,2016,636.9406
CIS (EI),,2017,646.41144
CIS (EI),,2018,654.45886
CIS (EI),,2019,666.955
CIS (EI),,2020,712.57465
CIS (EI),,2021,723.4681
CIS (EI),,2022,684.6768
Canada,CAN,1965,349.18494
Canada,CAN,1966,387.36557
Canada,CAN,1967,396.01184
Canada,CAN,1968,402.7419
Canada,CAN,1969,445.43494
Canada,CAN,1970,467.60938
Canada,CAN,1971,480.39542
Canada,CAN,1972,537.10455
Canada,CAN,1973,575.5898
Canada,CAN,1974,622.94006
Canada,CAN,1975,598.7016
Canada,CAN,1976,631.17596
Canada,CAN,1977,654.38477
Canada,CAN,1978,699.25714
Canada,CAN,1979,726.1567
Canada,CAN,1980,746.79175
Canada,CAN,1981,792.66223
Canada,CAN,1982,769.1252
Canada,CAN,1983,793.07294
Canada,CAN,1984,853.5228
Canada,CAN,1985,903.23126
Canada,CAN,1986,924.50073
Canada,CAN,1987,942.401
Canada,CAN,1988,917.0175
Canada,CAN,1989,869.959
Canada,CAN,1990,886.95996
Canada,CAN,1991,921.3352
Canada,CAN,1992,946.40173
Canada,CAN,1993,968.34033
Canada,CAN,1994,987.9468
Canada,CAN,1995,1010.7823
Canada,CAN,1996,1072.7583
Canada,CAN,1997,1057.3203
Canada,CAN,1998,1008.5163
Canada,CAN,1999,1050.6711
Canada,CAN,2000,1085.778
Canada,CAN,2001,1007.3819
Canada,CAN,2002,1054.3364
Canada,CAN,2003,1008.6561
Canada,CAN,2004,1010.8942
Canada,CAN,2005,1072.1818
Canada,CAN,2006,1041.7438
Canada,CAN,2007,1084.499
Canada,CAN,2008,1106.2661
Canada,CAN,2009,1085.9668
Canada,CAN,2010,1043.5005
Canada,CAN,2011,1115.5663
Canada,CAN,2012,1132.8436
Canada,CAN,2013,1158.9503
Canada,CAN,2014,1130.124
Canada,CAN,2015,1162.3379
Canada,CAN,2016,1181.7415
Canada,CAN,2017,1202.7225
Canada,CAN,2018,1177.6556
Canada,CAN,2019,1161.4446
Canada,CAN,2020,1174.1205
Canada,CAN,2021,1162.2963
Canada,CAN,2022,1202.9873
Central America (EI),,1965,4.0096774
Central America (EI),,1966,4.414785
Central America (EI),,1967,4.985484
Central America (EI),,1968,5.5147853
Central America (EI),,1969,6.1061826
Central America (EI),,1970,6.921425
Central America (EI),,1971,7.2162695
Central America (EI),,1972,7.7683535
Central America (EI),,1973,8.170477
Central America (EI),,1974,9.1782255
Central America (EI),,1975,9.162156
Central America (EI),,1976,10.760714
Central America (EI),,1977,10.7028475
Central America (EI),,1978,13.968073
Central America (EI),,1979,16.236273
Central America (EI),,1980,18.433422
Central America (EI),,1981,20.320223
Central America (EI),,1982,20.015015
Central America (EI),,1983,21.334394
